,0,1
0,abak,abakus
1,abakus,abak
2,abc,osnove
3,abdicirati,odstopiti
4,abdikacija,odstop
5,abdomen,zadek
6,abdominalen,trebušen
7,abducirati,odmikati
8,abdukcija,odmikanje
9,abduktor,odmikalka
10,abeceden,alfabetski
11,abecedno,po abecedi
12,abhazijščina,abhazijski jezik
13,abiotičen,abiotski
14,abiotski,abiotičen
15,abisalen,globokomorski
16,abiturient,maturant
17,abiturientka,maturantka
18,ablacija,kirurška odstranitev
19,ablativ,ločilnik
20,abnormalen,nepravilen
21,abnormalno,nepravilno
22,abnormalnost,nepravilnost
23,abolicija,ukinitev
24,abolicionist,abolicionistka
25,abolicionistka,abolicionist
26,abolirati,ukiniti
27,abonent,imetnik abonmaja
28,abonentka,imetnica abonmaja
29,aboridžin,avstralska domorodka
30,aboridžinka,avstralska domorodka
31,aboridžinski,domorodski
32,abortirati,splaviti
33,abortiv,splavilo
34,abortus,splav
35,abotnost,neumnost
36,abrazija,izpraskanje
37,abraziv,abrazivno sredstvo
38,abraziven,brusilen
39,abscedirati,ognojiti se
40,absces,ognojek
41,abscisa,koordinata x
42,absentizem,odsotnost z dela
43,absint,pelinkovec
44,absolut,absolutum
45,absoluten,popoln
46,absolutist,absolutistka
47,absolutističen,absoluten
48,absolutistka,absolutist
49,absolutizem,despotizem
50,absolutum,absolut
51,absorbent,absorptivna snov
52,absorbiranje,sprejemanje
53,absorptiven,vpojen
54,absorptivnost,sposobnost absorpcije
55,abstinenca,vzdržnost
56,abstinent,nepivec
57,abstinentka,nepivka
58,abstraktizem,abstraktna umetnost
59,abstraktno,teoretično
60,abstruzen,zapleten
61,abstruznost,zapletenost
62,absurdist,absurdistka
63,absurdistka,absurdist
64,abundanca,pogostnost
65,abundanten,pogost
66,abzajl,sestop po vrvi
67,acetat,etanoat
68,acetilen,etin
69,acetilenka,acetilenska svetilka
70,acheuléen,ašelen
71,acheuléenski,ašelenski
72,acid,trip
73,aciden,kisel
74,acidifikacija,nakisanje
75,acidnost,kislost
76,acidofilen,kisloljuben
77,adaksialen,zgornji
78,adaptabilen,prilagodljiv
79,adaptabilnost,prilagodljivost
80,adaptacija,predelava
81,adaptacionist,adaptacionistka
82,adaptacionistka,adaptacionist
83,adapterka,adapter
84,adaptirati,predelati
85,addukcija,primikanje
86,adduktor,primikalka
87,adekvaten,primeren
88,adekvatno,primerno
89,adekvatnost,ustreznost
90,adenoiden,žrelničen
91,adenom,žlezna bula
92,adherenten,zraščen
93,adhezija,zarastlina
94,adhezijski,adheziven
95,adhezijskost,adhezivnost
96,adheziv,lepilo
97,adheziven,adhezijski
98,adhezivnost,adhezijskost
99,adiabaten,adiabatski
100,adiabatski,adiabaten
101,adicija,seštevanje
102,adijo,papa
103,adiktiven,zasvojitven
104,adipozen,maščoben
105,adipoznost,debelost
106,aditiv,dodatek
107,adjektiv,pridevnik
108,adjektiven,pridevniški
109,adjektivno,pridevniško
110,adjutant,pribočnik
111,adjutantka,adjutant
112,adjuvans,dodatek
113,administracijski,pisarniški
114,administracijsko,administrativno
115,administrativen,upraven
116,administratorsko,administracijsko
117,admiral,admiralka flote
118,admiralka,admiral flote
119,admiralstvo,admiraliteta
120,admitanca,polna prevodnost
121,adneks,podaljšek
122,adnominalen,obsamostalniški
123,adolescenca,mladostništvo
124,adolescent,mladostnik
125,adolescenten,mladostniški
126,adolescentka,mladostnica
127,adonis,lepotec
128,adopcija,posvojitev
129,adoptant,posvojitelj
130,adoptantka,adoptant
131,adoptiran,posvojen
132,adoptiranec,posvojenec
133,adoptirati,posvojiti
134,adoptiven,posvojitven
135,adoracija,počastitev
136,adrema,adresirni stroj
137,adrenalen,nadledvičen
138,adrenalin,vznemirjenje
139,adrenalinski,razburljiv
140,adresa,pisna spomenica
141,adresar,imenik
142,adresirati,nasloviti
143,adresograf,adrema
144,adsorbat,hladivo
145,adsorbens,adsorbent
146,adsorbent,adsorbens
147,adsorbirati,prisrkati
148,adular,mesečev kamen
149,adventist,adventistka
150,adventistka,adventist
151,adventiven,nadomesten
152,adverb,prislov
153,adverbialen,prisloven
154,adverbialno,prislovno
155,adverzativen,protiven
156,advocaat,advocat
157,advocat,advocaat
158,advokat,odvetnik
159,advokatinja,odvetnica
160,advokatka,odvetnica
161,advokatura,odvetništvo
162,aeracija,prevetritev
163,aeroavto,leteči avtomobil
164,aerob,aerobiont
165,aerobatika,akrobatsko letenje
166,aerobiont,aerob
167,aerobno,na zraku
168,aerodinamik,aerodinamičarka
169,aerodinamičarka,aerodinamik
170,aerodinamičen,aerodinamično oblikovan
171,aerodrom,letališče
172,aerofob,aerofobka
173,aerofobka,aerofob
174,aerogram,letalska zalepka
175,aeromehanika,aerometrija
176,aerometrija,aeromehanika
177,aeronavt,letalec
178,aeronavtika,letalstvo
179,aeronavtičen,letalski
180,aeronavtka,letalka
181,aeroprofil,aerodinamična površina
182,aerostat,balon
183,aerotermodinamika,termodinamika zraka
184,aerovleka,vleka jadralnega letala
185,afazija,delna izguba govora
186,afekcija,razvnetost
187,afektiran,izumetničen
188,afektirano,izumetničeno
189,afektiranost,izumetničenost
190,afektiven,emocionalen
191,afektivnost,emocionalnost
192,afgan,afgani
193,afganec,afganistanski hrt
194,afgani,afgan
195,afganistanski,afganski
196,afganski,afganistanski
197,afidavit,izjava pod prisego
198,afiks,pona
199,afiksacija,dodajanje pone
200,afiliacija,pridružitev
201,afonija,brezglasnost
202,afoničen,brez glasu
203,aforističen,aforizemski
204,aforizem,izrek
205,aforizemski,aforističen
206,afrikaans,afrikanerščina
207,afrikacija,zlitje
208,afrikanerski,afrikanski
209,afrikanerščina,afrikanščina
210,afrikanist,afrikanistka
211,afrikanistka,afrikanist
212,afrikanski,afrikanerski
213,afrikanški,afrikanerski
214,afrikanščina,afrikanerščina
215,afrikata,zlitnik
216,afrikaten,zlit
217,afro,kodrast
218,afrocentrist,afrocentristka
219,afrocentristka,afrocentrist
220,afrodiziak,spolno dražilo
221,afrodizijski,afrodizičen
222,afrodizičen,afrodizijski
223,afront,napad
224,afta,razjeda v ustih
225,aga,južnoameriška orjaška krastača
226,agapornis,ljubček
227,agar,agaragar
228,agaragar,agar
229,agencija,urad
230,agens,dejavnik
231,agentiv,vršilski sklon
232,agentiven,vršilski
233,agitatorstvo,hujskaštvo
234,agitiranje,pridobivanje glasov
235,agitirati,pridobiti glasove
236,aglomeracija,nakopičenje
237,aglomerat,skupek
238,aglomerirati,nakopičiti
239,aglutinirati,sklopiti
240,agnostik,agnostikinja
241,agnostikinja,agnostik
242,agnostikičarka,agnostik
243,agonija,trpljenje
244,agorafobija,strah pred odprtim prostorom
245,agramatikalen,slovnično nepravilen
246,agraren,kmetijski
247,agregacija,spojitev
248,agregiran,celoten
249,agresivnež,nasilnež
250,agresor,napadalec
251,agresorka,napadalka
252,agrikultura,kmetijstvo
253,agrikulturen,kmetijski
254,agrikulturno,kmetijsko
255,agrobiolog,agrarna biologinja
256,agrobiologija,agrarna biologija
257,agrobiologinja,agrarna biologinja
258,agrokemijski,agrokemičen
259,agrokemikalija,agrokemično sredstvo
260,agrokemičen,agrokemijski
261,agronom,agronomka
262,agronomka,agronom
263,agroprodukt,agroživilski proizvod
264,agrotehnika,agrotehnologija
265,agrotehnologija,agrotehnika
266,agrum,citrus
267,agrumski,citrusni
268,aguti,guti
269,ahistoričen,nezgodovinski
270,ainojski,ainujski
271,ainujski,ainojski
272,air,napev
273,airbag,zračna blazina
274,airbrush,ameriška retuša
275,ajanje,nina nana
276,akademik,akademkinja
277,akademiki,akademski svet
278,akademističen,formalističen
279,akademizem,formalizem
280,akademkinja,akademik
281,akademsko,univerzitetno
282,akademskost,neživljenjskost
283,akceleracija,pospešitev
284,akcelerator,pospeševalnik
285,akceleratorski,pospeševalen
286,akcelerirati,dodati plin
287,akcelerometer,merilnik pospeška
288,akcent,poudarek
289,akcentuacija,naglaševanje
290,akcentuacijski,naglasen
291,akcentuiran,naglašen
292,akcentuirati,naglasiti
293,akcept,akceptacija
294,akceptacija,akcept
295,akceptant,akceptantka
296,akceptantka,akceptant
297,akceptirati,sprejeti
298,akcesija,povečanje
299,akcesoren,dodaten
300,akcidentalen,nebistven
301,akcidentalist,akcidentalistka
302,akcidentalistka,akcidentalist
303,akcidentalnost,nebistvenost
304,akcidenčen,akcidentalen
305,akcijski,nasilen
306,akcioner,akcijski film
307,akciza,trošarina
308,akela,načelnica družine medvedkov in čebelic
309,aklimatizacija,prilagoditev
310,aklimatizirati,prilagoditi
311,aknavost,akne
312,akne,aknavost
313,ako,če
314,akomodacija,prilagoditev
315,akomodirati,prilagoditi se
316,akord,sozvočje
317,akordeon,koncertina
318,akordski,harmonski
319,akotudi,dasiravno
320,akrecija,zraščenost
321,akreditiran,pooblaščen
322,akreditirati,pooblastiti
323,akrescenca,porast
324,akril,akrilna barva
325,akrobacije,iskanje bližnjic
326,akrobat,akrobatka
327,akrobatika,parterna gimnastika
328,akrobatka,akrobat
329,akrofobija,strah pred višino
330,akromatičen,akromatski
331,akromatopičen,akromatičen
332,akromatski,akromatičen
333,akronim,kratica
334,aksialen,osen
335,aksilaren,pazdušen
336,aksiomatičen,nedvomen
337,aksiomatično,aksiomsko
338,aksiomsko,aksiomatično
339,aksis,pegasti jelen
340,akt,spis
341,akterji,glavni igralci
342,aktiv,tvorni način
343,aktiviran,vklopljen
344,aktivizem,delovanje
345,aktivno,dejavno
346,aktovka,diplomatski kovček
347,aktualnost,pomembnost
348,aktuar,zavarovalniška statističarka
349,aktuarka,zavarovalniška statističarka
350,akulturacija,kulturna asimilacija
351,akumulacija,nabiranje
352,akumulativen,kumulativen
353,akumulator,shranjevalnik energije
354,akumuliran,nabran
355,akumulirati,nakopičiti
356,akupunkturist,akupunkturistka
357,akupunkturistka,akupunkturist
358,akustik,akustičarka
359,akustika,zvočnost
360,akustičarka,akustik
361,akustično,zvočno
362,akut,ostrivec
363,akuten,pereč
364,akutiran,rastoč
365,akutnost,težavnost
366,akuzativ,tožilnik
367,akuzativen,tožilniški
368,akuzatoren,obtožen
369,akvakultura,gojenje vodnih rastlin in živali
370,akvamarinski,zelenkasto moder
371,akvanavt,akvanavtinja
372,akvanavtinja,akvanavt
373,akvarelist,akvarelistka
374,akvarelistka,akvarelist
375,akvarij,steklena posoda
376,akvavit,paljenka
377,akviriranje,pridobivanje naročnikov
378,akvirirati,pridobiti naročila
379,akviziter,prodajalec od vrat do vrat
380,akviziterka,akviziter
381,akviziterstvo,prodaja po hišah
382,alarm,preplah
383,alarmirati,opozoriti
384,albin,beličnik
385,albinizem,beličnost
386,albinka,albin
387,albulid,bela lisica
388,ale,angleško pivo
389,alegorija,prispodoba
390,alegorik,alegoričarka
391,alegorizirati,prikazati v prispodobi
392,alegoričarka,alegorik
393,alegoričen,prispodoben
394,alegorično,kot prispodoba
395,alegoričnost,monumentalnost
396,aleja,drevored
397,aleksija,besedna slepota
398,alergen,alergenski
399,alergenski,alergen
400,alergolog,alergologinja
401,alergologinja,alergolog
402,alfabetiranje,urejanje po abecedi
403,alfabetirati,urediti po abecedi
404,alfabetski,abeceden
405,alfalfa,lucerna
406,algast,poln alg
407,algebraik,algebraičarka
408,algebraičarka,algebraik
409,algebraičen,algebrajski
410,algebraično,algebrajsko
411,algebrajski,algebraičen
412,algebrajsko,algebraično
413,algebrski,algebrajski
414,algebrsko,algebraično
415,algoritemski,algoritmičen
416,algoritmičen,algoritemski
417,alibi,izgovor
418,alienacija,odtujenost
419,alieniran,odtujen
420,alienist,alienistka
421,alienistka,alienist
422,alikvoten,enak
423,alimentacija,preživnina
424,alimenti,preživnina
425,alinea,alineja
426,alineja,alinea
427,aliteracija,soglasniški stik
428,alitirati,alumetirati
429,alkalen,bazičen
430,alkalija,baza
431,alkalnost,bazičnost
432,alkan,parafin
433,alken,olefin
434,alkimist,alkimistka
435,alkimistka,alkimist
436,alkiona,vodomec
437,alko,alkohol
438,alkohol,pijača
439,alkoholik,pijanec
440,alkoholizem,zapitost
441,alkoholičarka,pijanka
442,alkova,niša
443,almanah,letopis
444,alofon,glasovna varianta
445,alograf,črkovna varianta
446,alohton,tujeroden
447,alomorf,morfemska varianta
448,alopecija,plešavost
449,alotrop,polimorf
450,alpinist,gornik
451,alpinistka,gornica
452,alpinizem,planinarjenje
453,alpinski,alpski
454,alt,kontraalt
455,alternativa,druga možnost
456,alternator,generator izmeničnega toka
457,alternirati,izmenjavati se
458,altist,alt
459,altistka,alt
460,altovski,kontraaltovski
461,altruist,nesebičnež
462,altruističen,nesebičen
463,altruistka,nesebičnica
464,altruizem,nesebičnost
465,altsaksofon,altovski saksofon
